,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,time_signature
114,0.471,0.0791,7,-25.623,1,0.0414,0.994,0.917,0.111,0.0607,92.317,audio_features,4
115,0.645,0.836,3,-5.558,1,0.0381,0.202,0.0209,0.156,0.68,105.746,audio_features,3
116,0.621,0.732,5,-6.461,0,0.0506,0.0408,0.00515,0.654,0.284,107.6,audio_features,4
117,0.799,0.514,7,-6.794,0,0.0478,0.291,0.0,0.518,0.455,125.104,audio_features,4
118,0.85,0.508,10,-14.024,1,0.044,0.362,0.073,0.095,0.945,126.5,audio_features,4
119,0.911,0.732,8,-5.995,1,0.0407,0.036,0.283,0.0634,0.908,119.999,audio_features,4
120,0.643,0.45,0,-12.441,1,0.0371,0.215,0.848,0.111,0.802,139.724,audio_features,4
121,0.795,0.594,0,-6.2,1,0.0748,0.112,0.0,0.162,0.409,135.002,audio_features,4
122,0.546,0.583,6,-7.317,0,0.0348,0.002,0.173,0.115,0.235,128.017,audio_features,4
123,0.601,0.859,4,-6.311,0,0.0397,0.0351,0.331,0.144,0.431,101.003,audio_features,4
124,0.671,0.445,4,-7.842,0,0.0291,0.348,5.93e-05,0.155,0.811,75.996,audio_features,4
125,0.3,0.353,4,-15.588,0,0.047,0.777,0.478,0.406,0.19,134.912,audio_features,3
126,0.635,0.874,4,-4.693,0,0.176,0.156,0.0,0.245,0.632,89.895,audio_features,4
127,0.693,0.259,1,-7.918,1,0.0372,0.448,0.000135,0.0995,0.361,88.972,audio_features,4
128,0.581,0.687,6,-5.4,1,0.105,0.229,0.0,0.109,0.187,76.014,audio_features,4
129,0.746,0.454,9,-8.79,1,0.0583,0.122,1.52e-05,0.296,0.268,121.921,audio_features,4
130,0.747,0.494,3,-7.957,0,0.141,0.393,0.0,0.0982,0.624,76.006,audio_features,4
131,0.855,0.659,0,-6.451,1,0.0642,0.0216,0.156,0.075,0.286,130.967,audio_features,4
132,0.48,0.429,10,-8.848,0,0.0479,0.355,0.0552,0.114,0.315,174.27,audio_features,4
133,0.74,0.798,0,-6.55,1,0.146,0.189,0.00128,0.305,0.571,119.964,audio_features,4
134,0.826,0.299,9,-7.721,1,0.0446,0.31,0.0952,0.0758,0.215,97.012,audio_features,4
135,0.704,0.487,9,-6.407,0,0.0604,0.669,8.64e-05,0.111,0.313,121.726,audio_features,4
136,0.291,0.897,2,-2.32,0,0.0542,0.0276,0.65,0.116,0.555,150.185,audio_features,4
137,0.332,0.371,4,-9.884,1,0.0396,0.729,0.00021,0.176,0.375,173.273,audio_features,3
138,0.467,0.397,0,-11.707,0,0.0574,0.425,0.578,0.0989,0.0993,139.97,audio_features,4
139,0.55,0.536,6,-10.045,1,0.0423,0.00612,0.884,0.372,0.539,85.458,audio_features,4
140,0.589,0.511,0,-10.961,1,0.0333,0.0166,0.89,0.125,0.896,139.1,audio_features,4
141,0.781,0.385,10,-9.976,0,0.0789,0.0101,0.587,0.166,0.842,105.812,audio_features,4
142,0.635,0.3,2,-13.957,0,0.0285,0.707,0.829,0.574,0.772,91.452,audio_features,4
143,0.426,0.341,9,-20.588,0,0.0367,0.186,0.954,0.0952,0.674,134.987,audio_features,4
144,0.404,0.695,0,-5.24,1,0.0297,0.00105,0.00194,0.133,0.0821,98.644,audio_features,4
145,0.546,0.595,5,-7.305,1,0.0441,0.341,0.000546,0.0861,0.23,92.146,audio_features,4
146,0.618,0.714,5,-6.533,0,0.075,0.209,0.000569,0.0699,0.676,90.792,audio_features,4
147,0.632,0.306,5,-7.698,0,0.0281,0.653,3.26e-06,0.11,0.314,77.463,audio_features,4
148,0.679,0.503,2,-7.738,1,0.0285,0.63,0.515,0.109,0.882,76.004,audio_features,4
149,0.378,0.9,2,-5.435,1,0.0987,0.114,0.926,0.0907,0.561,133.547,audio_features,4
150,0.579,0.613,6,-12.384,1,0.0271,0.754,0.847,0.0666,0.676,98.286,audio_features,4
151,0.536,0.441,5,-7.244,0,0.0356,0.181,0.564,0.113,0.335,105.556,audio_features,4
152,0.383,0.448,5,-9.693,0,0.0301,0.473,0.558,0.112,0.251,128.746,audio_features,3
153,0.201,0.217,1,-10.626,1,0.0326,0.186,0.888,0.0947,0.0378,84.199,audio_features,4
154,0.406,0.819,5,-6.8,0,0.0392,0.0134,0.504,0.371,0.25,123.763,audio_features,1
155,0.611,0.447,7,-8.695,1,0.026,0.767,0.00737,0.196,0.153,101.037,audio_features,4
156,0.337,0.0339,7,-20.217,0,0.0477,0.994,0.751,0.146,0.051,113.219,audio_features,3
157,0.588,0.576,6,-6.945,0,0.0367,0.218,0.0357,0.172,0.66,129.155,audio_features,4
158,0.663,0.552,5,-8.925,0,0.0308,0.0574,0.0131,0.0973,0.687,132.867,audio_features,4
159,0.635,0.631,7,-10.007,1,0.0343,0.0378,0.138,0.0997,0.619,111.563,audio_features,4
160,0.584,0.532,2,-8.415,1,0.0309,0.000557,0.798,0.264,0.226,122.015,audio_features,4
161,0.21,0.948,11,-5.542,0,0.107,0.000855,0.0299,0.108,0.314,117.646,audio_features,4
162,0.178,0.751,4,-7.202,0,0.0506,0.111,0.894,0.117,0.414,63.929,audio_features,4
163,0.532,0.611,7,-8.95,1,0.0271,0.00749,0.512,0.116,0.261,106.957,audio_features,4
164,0.547,0.538,11,-11.39,0,0.0567,0.473,0.0,0.0369,0.718,202.409,audio_features,4
165,0.869,0.648,11,-8.698,0,0.0633,0.121,2.17e-05,0.126,0.9,125.035,audio_features,4
166,0.311,0.619,3,-9.076,1,0.0314,0.0377,0.894,0.109,0.241,79.92,audio_features,4
167,0.789,0.742,10,-5.664,0,0.0652,0.0681,0.0,0.166,0.661,116.965,audio_features,4
168,0.278,0.239,6,-15.248,1,0.0353,0.901,0.141,0.18,0.204,169.229,audio_features,3
169,0.552,0.928,5,-10.667,1,0.0338,0.00273,0.00384,0.216,0.824,88.648,audio_features,4
170,0.717,0.482,3,-8.071,1,0.0465,0.564,0.000235,0.0921,0.321,103.006,audio_features,4
171,0.675,0.761,4,-4.469,0,0.0466,0.432,0.0,0.102,0.428,119.001,audio_features,4
172,0.518,0.791,9,-5.591,0,0.0334,0.011,0.000275,0.334,0.495,96.618,audio_features,4
